ID,Sex,Age_mean,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,L1,L2,L3,L4,L5,Sum_Verts
korea98,F,17.5,33.73,11.43,10.94,11.08,11.45,12.89,14.21,15.44,15.75,16.44,16.48,18.21,18.2,18.26,19.29,19.38,20.63,21.62,22.66,24.21,25.42,26.98,27.1,431.8
korea99,M,45,38.94,15.62,16.21,15.4,14.43,16.13,16.01,19.7,19.19,20.51,20.34,20.95,22.79,22.93,22.07,23.66,24.22,25.5,24.96,26.18,26.03,26.58,29.06,507.41
korea100,M,60,42.24,15.89,13.62,14.04,14.97,17.7,18.29,20.48,18.77,20.75,22.02,21.59,22.08,23.87,24.61,24.7,26.75,26.88,29.39,29.39,30.85,32.39,33.44,544.71
korea101,F,32.5,35.95,13.11,12.59,11.71,12.53,15.06,16.47,16.8,16.3,17.16,17.03,16.94,17.63,17.58,18.02,18.61,19.89,20.41,23.34,22.71,22.75,23.87,23.49,429.95
korea102,M,32.5,39.43,14.45,13.3,14.12,13.2,17.05,18.89,19.06,18.85,19.21,19.55,20.27,20.24,19.94,21.42,21.5,22.06,23.03,24.59,24.91,26.4,28.31,26.28,486.06
korea103,M,27.5,36.17,12.03,11.29,11.46,12.8,13.16,16.62,17.4,17.24,17.86,17.67,19.29,20.43,17.95,20.26,18.57,22,25.67,26.14,25.41,24.02,26.62,27.12,457.18
korea104,M,40,35.97,14.73,14.11,14.7,14.29,15.55,17.54,19.53,19.53,19.33,20.04,20.77,22.11,22.17,22.36,21.92,22.55,24.25,25.59,25.56,28.02,29.24,29.41,499.27
korea105,M,50,36.57,14.89,13.37,12.99,12.94,14.57,16.79,18.48,18.91,19.46,18.86,20.95,21.46,21.5,22.05,22.46,22.42,23.2,24.96,24.45,26.66,27.62,24.78,480.34
korea106,F,45,35.06,10.89,10.75,11.32,11.76,12.99,15.39,18.58,17.99,18.04,18.5,18.74,18.89,19.06,20.53,20.59,21.26,23.62,23.7,24.27,25.94,24.26,22.53,444.66
korea107,M,50,38.4,13.54,14.24,13.86,13.76,15.48,17.23,18.53,18.55,19.38,19.94,20.22,21.45,21.37,21.83,21.95,22.22,24.02,25.85,25.9,24.75,26.01,26.77,485.25
korea108,M,45,37.48,14.05,12.51,13.84,13.41,14.58,16.6,20.54,18.77,19.14,19.53,19.86,20.65,20.51,21.1,22.3,22.15,23.77,25.1,27.36,25.97,27.09,28.29,484.6
korea109,M,45,40.18,14.78,13.74,13.75,13.66,15.38,20.38,16.26,18.75,19.98,21.1,21.27,21.8,21.22,21.28,22.85,22.62,24.11,25.6,26.85,27.12,28.89,27.73,499.3
