ID,Sex,Age_mean,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,L1,L2,L3,L4,L5,Sum_Verts
korea37,M,50,35.93,14.6,12.85,13.04,14.59,15.09,17.62,17.08,19.45,20.55,20.79,21.33,21.98,23.63,24.54,23.47,24.13,24.73,24.79,26.33,26.55,27.38,27,497.45
korea38,M,30,38.16,13.67,12.81,12.16,11.35,11.92,16.07,19.28,18.47,19.58,19.17,20.28,21.16,20.4,20.97,21.45,21.52,22.54,24.74,26.86,26.28,27.88,27.66,474.38
korea39,F,27.5,35.4,12.57,11.42,10.99,12.37,14.81,15.97,16.79,16.38,15.98,17.19,17.6,18.19,19.71,19.52,19.95,21.85,23.68,23.84,24.89,23.51,25.24,23.93,441.78
korea40,F,55,37.02,11.07,12.17,10.59,11.24,13.13,14.54,16.23,16.8,16.38,16.7,17.57,17.97,18.22,18.52,19.37,20.24,24.9,22.33,23.48,24.59,24.7,23.74,431.5
korea41,M,32.5,36.73,12.86,13.22,12.83,11.66,12.65,16.4,18.1,17.74,19.23,19.43,19.1,20.25,20.04,21.2,21.45,21.41,22.78,26.05,25.68,28.41,26.95,28.14,472.31
korea42,M,50,42.56,14.42,13.35,13.18,13.66,14.84,18.22,18.73,18.8,19.39,20.33,21.56,22.53,22.87,22.83,22.92,23.07,22.97,24.47,24.59,26.31,27.52,28.28,497.4
korea43,M,21,36.52,13.58,11.96,10.96,12.43,16.22,17.54,17.88,18.63,18.92,19.3,19.46,20.33,20.55,21.6,21.74,25.27,26.18,26.44,28.25,28.12,30.07,28.78,490.73
korea44,M,30,35.62,14.11,13.92,13.22,15.03,15.04,16.33,18.54,17.91,18.29,19.89,19.83,20.65,19.87,20.67,21.62,22.32,23.99,25.58,25.6,26.79,27.23,28.21,480.26
korea45,M,32.5,35.13,11.33,12.37,12.14,11.8,13.38,18.05,15.86,18.1,16.84,18.35,18.25,19.65,20.18,21.39,21.33,21.42,21.94,22.9,23.27,24.3,25.33,24.9,448.21
korea46,F,40,34.04,13.36,13.26,13.25,12.64,13.29,15.02,17.13,16.94,16.66,17.35,17.43,18.33,18.01,19.08,19.63,20.41,21.59,24.28,23.94,25.08,25.64,25.43,441.79
korea47,M,45,36.21,13.28,12.59,12.11,11.42,14.54,16.32,18.24,17.54,18.53,19.07,19.33,18.64,18.99,19.34,20.97,21.46,22.61,24.69,25.47,26.05,24.88,25.84,458.12
korea48,F,50,35.71,11.47,11.51,11.83,11.55,12.97,14.4,16.11,15.84,16.08,16.94,16.87,17.23,17.14,18.45,18.78,19.91,21.65,22.2,22.36,23.46,24.44,24.06,420.96
korea49,F,40,35.31,12.46,12.48,11.92,12.39,14.04,15.03,18.27,17.61,17.61,18.06,18.57,18.28,18.69,19.29,20.17,20.58,22.63,24.2,25.93,26.63,26.62,26.72,453.49
korea50,F,40,38.34,13.86,13.7,12.7,13.1,14.51,15.99,16.26,16.53,17.43,17.59,17.71,18.07,17.97,17.73,18.62,19.68,23.09,24.58,25.41,24.8,25.6,24.72,447.99
korea51,M,30,39.76,16.34,13.91,14.12,14.13,15.93,18.89,18.92,17.71,18.09,19.42,21.57,21.61,22.76,23,23.52,24.24,25.3,27.1,25.58,27.11,28.64,30.2,507.85
korea52,F,23.5,32.89,11.68,11.3,11.34,11.98,12.38,15.8,16.99,16.11,16.56,17.23,17.72,17.74,18.85,20.37,21.3,21.93,23.4,25.6,26.63,27.25,26.71,26.14,447.9
korea53,F,60,35.77,12.62,12.5,12.07,13.13,13.44,14.66,17.01,16.92,16.92,17.77,18.45,18.75,19.07,19.21,19.61,19.63,22.64,24.35,24.1,23.96,24.26,23.59,440.43
korea54,F,55,40.76,13.45,14.06,13.36,12.64,14.31,16.31,17.13,17.12,17.07,19.13,19.68,19.2,19.34,18.26,19.6,20.54,18.05,19.55,23.46,24.2,24.77,28.38,450.37
korea55,M,50,37.4,14.98,14.19,12.78,14.1,14.99,18.24,18.71,19.26,20.17,19.96,19.78,20.07,20.09,21.48,21.82,21.96,23.84,26.43,25.74,25.57,25.51,25.97,483.04
korea56,F,21,34.19,12.85,12.4,12.87,12.32,12.39,15.04,15.07,16.24,18.07,17.79,18.17,18.43,19.65,19.87,20.29,21.54,22.97,23.59,25.39,24.49,25.12,24.84,443.58
korea57,F,21,35.53,14.05,13.43,14.08,15.36,16.42,18.25,19.05,19.14,19.23,19.86,20.1,21.17,21.22,22.64,21.94,23.47,25.48,26.23,28.39,28.5,27.61,27.19,498.34
korea58,F,21,37.08,12.32,11.65,10.47,11.7,13.28,14.44,16.5,16.87,17.03,17.8,18.47,18.23,18.76,19.21,19.83,20.56,21.77,23.63,23.94,23.87,23.93,24.3,435.64
korea59,M,50,37.41,13.5,13.07,12.52,12.39,14.66,16.6,18.83,18.05,17.61,17.72,17.74,18.32,18.74,18.97,20.18,20.73,22,23.52,23.65,24.09,23.91,25.59,449.8
korea60,M,50,41.15,13.97,13.34,13.79,13.73,17.22,17.92,18.32,17.51,19.3,20.53,20.73,22.13,21.95,22.74,23.23,23.99,24.4,25.79,27.59,27.99,29.17,26.48,502.97
korea61,F,27.5,33.25,12.86,11.5,11.25,12.18,14.47,16.02,15.81,16.76,16.97,17.83,18.14,19.1,20.15,20.66,21.16,22.46,23.62,24.03,26.59,27.42,26.19,24.6,453.02
korea62,M,50,37.92,14.93,13.7,13.92,14.08,15.23,15.99,17.26,16.8,18.5,19.68,19.98,20.82,20.69,21.71,22.03,23.31,24.97,25.53,26.51,28.37,29.04,26.33,487.3
korea63,M,55,39.86,14.81,14.63,12.51,13.48,15.55,17.78,19.45,18.8,18.63,18.53,19.78,19.53,20.24,20.92,21.55,21.53,22.61,24.42,24.87,25.16,25.83,25.58,476.05
korea64,M,40,37.52,14.04,13.09,11.64,11.54,14.7,16.04,18.39,17.51,18.54,18.96,19.58,19.68,20.39,21.18,21.15,22.21,23.96,23.32,23.85,24.96,24.98,25.11,462.34
korea65,F,32.5,37.97,13.18,12.55,11.83,12.32,14.02,15.16,17.34,16.78,17.17,17.2,17.9,18.27,18.16,18.39,18.75,19.21,21.77,22.18,24.43,24.8,25.53,25.96,440.87
korea66,F,45,34.94,14.18,14.57,14.35,15.11,15.47,17.34,16.97,16.51,16.36,17.7,18.58,18.16,18.82,18.68,19.12,19.81,21.44,23.73,24.94,26.19,25.72,26.76,455.45
korea67,M,55,40.62,15.14,14.46,12.25,13.33,15.45,17.56,19.31,19.24,18.43,19.34,20.69,20.45,21.33,21.72,22.73,22.58,23.76,25.43,24.99,27.38,27.54,26.3,490.03
